Conc,HP_AUC,Hyper_AUC_error,Hyper_Tau,Hyper_Tau_error,Hyper_The,Hyper_The_error,Hyper_Amp,Hyper_Amp_error,TSA_AUC,TSA_AUC_error,TSA_Tau,TSA_Tau_error,TSA_The,TSA_The_error,TSA_Amp,TSA_Amp_error
1,0.3262,0.2182,67.965,16.708,51.688,25.423,0.002617,0.001881,1.294,6.287,41.544,14.027,101.1144,29.32023,0.0982,0.0724
5,0.6423,0.0712,49.947,1.856,14.0646,0.989,0.02281,0.00195,3.64,0.0577,78.086,5.263,95.0698,33.643,0.0285,0.0136
10,1.782,0.1103,64.278,4.773,24.617,3.407,0.0369,0.00277,7.157,1.03,51.939,1.5991,84.554,4.0259,0.04312,0.0085
20,3.851,0.1892,62.612,1.117,24.058,0.0316,0.08,0.004,14.845,0.898,77.135,7.759,45.984,7.327,0.1683,0.02411
50,11.427,0.383,70.686,1.9397,33.048,2.6375,0.174,0.0082,28.105,1.135,81.529,1.398,12.22,3.63,0.32,0.0053
100,29.72627833333332,0.16359229613755,72.80960153322388,0.8373827126723874,35.78654894246098,0.5216311818541228,0.4155332736378541,0.0050759699382068,92.283,0.931,98.482,0.216,50.222,0.955,0.3587999332116171,0.0016219798933302
250,77.2672961111111,4.691760814735535,67.46552310674916,2.0296290417825413,37.24778654896161,0.5792406048129778,1.040390348019662,0.0779468018939358,66.05157833333332,1.8964212524652453,120.14030128670328,2.8298546885085645,74.32870896058017,3.2014333485144792,0.4452047153405249,0.0082879585248464
500,192.0897,3.422206725687493,82.65842394503038,0.9460162843377634,46.2009885888605,0.7277681249635862,2.0787719708592776,0.0134966584897219,107.61563499999998,0.8436629428108291,143.2419639033611,0.5871515435994409,81.93147624713698,0.5963654527781883,0.6567357888473592,0.0010603614751654
1000,353.27186666666665,7.21676997173223,108.55738149270896,0.5494735518018615,62.32671070560622,0.3259948112651192,2.8334774066099526,0.0456651211472832,154.06576166666665,0.6238249334118485,173.7779420194648,0.4607995922139241,88.61642329232147,0.0809837304545118,0.8692784281442724,0.0028758415383748
